Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Petrol,51116,Automatic,2,Honda,Honda City,2019,10.24,2020,5,1497,18.0,Bangalore
Diesel,80000,Manual,3,Skoda,Skoda Rapid,2016,5.0,2016,5,1498,21.14,Bangalore
Petrol,40000,Automatic,2,Volkswagen,Volkswagen Polo,2017,9.95,2017,5,1197,17.21,Bangalore
Petrol,85565,Automatic,2,Honda,Honda CR-V,2012,9.35,2012,5,2354,11.1,Bangalore
Petrol,36916,Manual,1,Ford,Ford Ecosport,2018,8.34,2018,5,1497,17.0,Bangalore
Diesel,90000,Manual,1,Volkswagen,Volkswagen Polo,2015,5.6,2015,5,1498,20.14,Bangalore
Petrol,112795,Manual,1,Maruti,Maruti Swift,2012,4.54,2012,5,1197,22.38,Bangalore
Petrol,11000,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,2021,5,1332,13.0,Bangalore
Petrol,120000,Manual,2,Toyota,Toyota Innova,2014,11.0,2014,7,1998,11.4,Bangalore
Petrol,36685,Manual,2,Honda,Honda Brio,2016,4.62,2016,5,1198,19.4,Bangalore
Diesel,120000,Automatic,2,Hyundai,Hyundai Santa Fe,2012,9.0,2012,7,2199,11.72,Bangalore
Petrol,4000,Automatic,1,BMW,BMW 6 Series,2022,79.0,2022,4,1998,13.32,Bangalore
Petrol,32184,Automatic,2,Maruti,Maruti Baleno,2019,8.43,2019,5,1197,21.4,Bangalore
Petrol,32279,Manual,1,Maruti,Maruti Baleno RS,2018,7.99,2019,5,998,21.1,Bangalore
Petrol,59698,Manual,1,Hyundai,Hyundai i20,2015,5.76,2015,5,1197,18.6,Bangalore
Diesel,46071,Manual,1,Renault,Renault Captur,2018,9.49,2018,5,1461,20.37,Bangalore
Diesel,90000,Manual,1,Maruti,Maruti Vitara Brezza,2017,7.95,2017,5,1248,24.3,Bangalore
Petrol,9554,Manual,1,Hyundai,Hyundai Venue,2019,10.85,2019,5,998,18.27,Bangalore
Petrol,14000,Automatic,1,Jeep,Jeep Compass,2022,25.9,2022,5,1368,14.1,Bangalore
Diesel,74499,Manual,2,Renault,Renault Duster,2013,5.16,2013,5,1461,20.45,Bangalore
Petrol,56211,Automatic,2,Ford,Ford Ecosport,2017,7.77,2017,5,1497,14.8,Bangalore
Petrol,9001,Manual,1,Honda,Honda Jazz,2019,7.53,2019,5,1199,18.2,Bangalore
Diesel,65457,Automatic,2,Mahindra,Mahindra XUV500,2017,12.26,2017,7,1997,16.0,Bangalore
Petrol,23682,Manual,1,Honda,Honda Jazz,2017,7.25,2017,5,1199,18.7,Bangalore
Diesel,50000,Manual,1,Hyundai,Hyundai Verna,2020,11.5,2020,5,1582,22.0,Bangalore
Diesel,134557,Manual,2,Maruti,Maruti Swift,2015,6.29,2015,5,1248,25.2,Bangalore
Petrol,96567,Manual,2,Maruti,Maruti Swift Dzire,2013,4.47,2013,5,1197,22.41,Bangalore
Diesel,83007,Manual,2,Maruti,Maruti Ertiga,2014,7.86,2015,7,1248,20.77,Bangalore
Petrol,34000,Manual,1,Honda,Honda Jazz,2018,7.45,2018,5,1199,18.7,Bangalore
Petrol,81634,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.9,2014,5,1197,18.9,Bangalore
Petrol,57284,Automatic,2,Honda,Honda City,2017,9.42,2017,5,1497,18.0,Bangalore
Petrol,70000,Automatic,2,Ford,Ford Ecosport,2016,6.75,2016,5,1499,15.63,Bangalore
Petrol,70000,Manual,2,Honda,Honda Brio,2013,3.3,2013,5,1198,19.4,Bangalore
Petrol,46429,Automatic,2,Toyota,Toyota Yaris,2018,8.75,2018,5,1496,17.8,Bangalore
Petrol,17624,Manual,1,Maruti,Maruti Baleno,2017,8.69,2018,5,1197,21.4,Bangalore
Diesel,100000,Manual,2,Volkswagen,Volkswagen Vento,2012,4.25,2012,5,1598,20.54,Bangalore
Petrol,30000,Manual,1,Honda,Honda City,2019,10.7,2019,5,1497,17.4,Bangalore
Petrol,49690,Manual,2,Ford,Ford Ecosport,2018,10.25,2018,5,1496,15.9,Bangalore
Diesel,110000,Manual,1,Mahindra,Mahindra XUV500,2016,10.0,2016,7,2179,16.0,Bangalore
Petrol,50000,Manual,1,Fiat,Fiat Linea,2009,3.75,2009,5,1368,16.0,Bangalore
Petrol,55702,Automatic,1,Ford,Ford Ecosport,2018,8.44,2018,5,1497,14.8,Bangalore
Diesel,45046,Manual,1,Hyundai,Hyundai i20 Active,2016,7.64,2016,5,1396,21.19,Bangalore
Petrol,53000,Manual,2,Maruti,Maruti Ritz,2014,4.2,2014,5,1197,18.5,Bangalore
Diesel,94695,Manual,1,Maruti,Maruti Baleno,2016,6.84,2016,5,1248,27.39,Bangalore
Petrol,22162,Manual,1,Maruti,Maruti Baleno,2019,8.03,2019,5,1197,21.4,Bangalore
Petrol,70000,Manual,2,Hyundai,Hyundai Santro Xing,2010,3.2,2010,5,1086,17.92,Bangalore
Diesel,115331,Manual,1,Honda,Honda City,2017,8.04,2018,5,1498,26.0,Bangalore
Diesel,70000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,14.0,2013,5,2148,10.0,Bangalore
Petrol,42233,Manual,2,Maruti,Maruti Swift,2016,5.48,2016,5,1197,22.38,Bangalore
Petrol,20941,Manual,1,Hyundai,Hyundai Grand i10,2019,6.19,2019,5,1197,18.9,Bangalore
Diesel,50000,Manual,2,Maruti,Maruti Vitara Brezza,2018,10.0,2018,5,1248,24.3,Bangalore
Petrol,46602,Manual,1,Honda,Honda WR-V,2018,8.65,2018,5,1199,17.5,Bangalore
Diesel,50000,Automatic,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,10.0,2014,7,2696,11.18,Bangalore
Diesel,104000,Manual,2,Maruti,Maruti Swift,2014,5.35,2014,5,1248,25.2,Bangalore
Diesel,90000,Manual,1,Ford,Ford Ecosport,2018,9.75,2018,5,1498,23.0,Bangalore
Petrol,50035,Manual,1,Maruti,Maruti Baleno,2017,6.99,2017,5,1197,21.4,Bangalore
Petrol,80000,Manual,1,Tata,Tata Nexon,2021,11.5,2021,5,1199,17.57,Bangalore
Petrol,90000,Manual,2,Hyundai,Hyundai i20,2015,6.25,2015,5,1197,18.6,Bangalore
Diesel,90000,Automatic,4,Mercedes-Benz,Mercedes-Benz E-Class,2011,10.0,2011,5,2143,14.21,Bangalore
Diesel,120000,Manual,1,Toyota,Toyota Corolla Altis,2011,6.0,2011,5,1364,21.43,Bangalore
Petrol,25170,Manual,1,Maruti,Maruti Swift Dzire,2015,6.75,2015,5,1197,22.41,Bangalore
Petrol,25022,Manual,1,Maruti,Maruti Ciaz,2021,8.93,2021,5,1462,20.65,Bangalore
Diesel,100000,Manual,2,Maruti,Maruti Swift,2012,4.2,2012,5,1248,22.9,Bangalore
Petrol,26367,Manual,1,Maruti,Maruti Ciaz,2020,9.41,2020,5,1462,20.65,Bangalore
Petrol,76567,Automatic,2,Hyundai,Hyundai Elantra,2015,6.3,2015,5,1797,14.5,Bangalore
Diesel,120000,Manual,2,Toyota,Toyota Innova,2013,12.75,2013,7,2494,12.99,Bangalore
Petrol,36459,Automatic,2,Hyundai,Hyundai Grand i10,2015,5.25,2015,5,1197,18.9,Bangalore
Diesel,93725,Manual,1,Maruti,Maruti SX4 S Cross,2016,7.5,2016,5,1248,23.65,Bangalore
Petrol,115599,Automatic,2,Maruti,Maruti Ciaz,2016,6.32,2016,5,1373,19.12,Bangalore
Petrol,43469,Manual,1,Maruti,Maruti Swift Dzire,2015,6.45,2016,5,1197,22.41,Bangalore
Petrol,70000,Manual,4,Ford,Ford Ikon,2005,5.0,2005,5,1299,13.8,Bangalore
Diesel,77000,Automatic,2,BMW,BMW X5,2019,67.95,2019,5,2993,13.38,Bangalore
Diesel,100000,Manual,1,Maruti,Maruti Vitara Brezza,2018,8.5,2018,5,1248,24.3,Bangalore
Petrol,72000,Manual,1,Mitsubishi,Mitsubishi Cedia,2008,2.99,2008,5,1999,14.7,Bangalore
Diesel,77000,Automatic,1,Jaguar,Jaguar XF,2013,20.95,2013,5,2179,16.36,Bangalore
Diesel,87101,Automatic,1,Audi,Audi Q7,2013,28.0,2013,7,2967,12.07,Bangalore
Petrol,40771,Manual,2,Volkswagen,Volkswagen Polo,2021,9.99,2021,5,999,18.24,Bangalore
Petrol,28000,Manual,1,Honda,Honda Jazz,2018,8.25,2018,5,1199,18.7,Bangalore
Petrol,40000,Manual,3,Maruti,Maruti Wagon R,2008,2.5,2008,5,1061,18.9,Bangalore
Petrol,26000,Automatic,1,Hyundai,Hyundai Venue,2020,12.95,2020,5,998,18.15,Bangalore
Petrol,76032,Manual,1,Maruti,Maruti Wagon R,2012,3.29,2012,5,998,18.9,Bangalore
Petrol,113780,Manual,1,Maruti,Maruti Ciaz,2018,6.66,2018,5,1462,21.56,Bangalore
Diesel,24000,Automatic,1,Audi,Audi A3,2019,22.9,2020,5,1968,20.38,Bangalore
Diesel,65812,Manual,2,Hyundai,Hyundai Venue,2020,10.26,2020,5,1493,23.7,Bangalore
Petrol,10000,Automatic,1,Skoda,Skoda Kushaq,2022,17.0,2022,5,999,17.2,Bangalore
Petrol,39959,Manual,1,Maruti,Maruti Baleno,2016,6.81,2016,5,1197,21.4,Bangalore
Petrol,10000,Automatic,1,Hyundai,Hyundai Alcazar,2022,16.9,2022,7,1999,14.2,Bangalore
Petrol,65484,Manual,3,Maruti,Maruti Alto K10,2016,3.18,2017,5,998,24.39,Bangalore
Petrol,49174,Manual,1,Maruti,Maruti Baleno,2017,6.88,2017,5,1197,21.4,Bangalore
Petrol,20000,Manual,1,Volkswagen,Volkswagen Taigun,2022,13.0,2022,5,999,20.08,Bangalore
Petrol,50000,Manual,1,Hyundai,Hyundai i10,2009,2.65,2009,5,1197,20.36,Bangalore
Petrol,40000,Automatic,2,Maruti,Maruti Swift Dzire,2018,6.45,2018,5,1197,22.0,Bangalore
Petrol,30000,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.0,2022,7,1999,14.2,Bangalore
Petrol,50000,Automatic,3,BMW,BMW 3 Series,2007,9.0,2007,5,2497,10.9,Bangalore
Petrol,80000,Manual,1,Maruti,Maruti Swift,2020,6.2,2020,5,1197,21.21,Bangalore
Petrol,20000,Manual,1,MG,MG Astor,2022,14.7,2022,5,1498,15.43,Bangalore
Cng,70000,Manual,1,Hyundai,Hyundai Accent,2010,2.2,2010,5,1495,13.2,Bangalore
